patient_index,mean_pairwise_cosine,pair_cosines
122,-0.02769076,"{""0-1"": -0.05414530262351036, ""0-2"": 0.036953508853912354, ""1-2"": -0.06588047742843628}"
123,0.03069417,"{""0-1"": -0.00716900359839201, ""0-2"": -0.011604536324739456, ""1-2"": 0.1108560636639595}"
124,-0.01458036,"{""0-1"": -0.014580362476408482}"
125,-0.08876486,"{""0-1"": -0.08876486122608185}"
126,-0.00288617,"{""0-1"": -0.09670659154653549, ""0-2"": -0.01750767230987549, ""1-2"": 0.10555575788021088}"
127,0.00000000,{}
128,0.00000000,{}
129,0.83939493,"{""0-1"": 0.8393949270248413}"
130,-0.00754311,"{""0-1"": 0.023577120155096054, ""0-2"": -0.08744922280311584, ""1-2"": 0.04124276712536812}"
131,0.37691978,"{""0-1"": 0.9988043904304504, ""0-2"": 0.0657011941075325, ""1-2"": 0.06625375151634216}"
132,0.00000000,{}
133,0.99999988,"{""0-1"": 0.9999998807907104}"
134,0.32187842,"{""0-1"": -0.08921874314546585, ""0-2"": 0.4408082664012909, ""1-2"": 0.6140457391738892}"
135,0.09400831,"{""0-1"": 0.15632669627666473, ""0-2"": 0.09501838684082031, ""1-2"": 0.030679851770401}"
136,-0.03137804,"{""0-1"": -0.06755348294973373, ""0-2"": -0.02858838438987732, ""1-2"": 0.0020077512599527836}"
137,0.17788979,"{""0-1"": 0.5142992734909058, ""0-2"": -0.08187825977802277, ""1-2"": 0.1012483611702919}"
138,0.04394650,"{""0-1"": 0.08944743871688843, ""0-2"": -0.0032249195501208305, ""1-2"": 0.045616984367370605}"
139,-0.05087501,"{""0-1"": -0.05087500810623169}"
140,-0.03610692,"{""0-1"": -0.06358110904693604, ""0-2"": -0.0368727445602417, ""1-2"": -0.007866903208196163}"
141,0.00325688,"{""0-1"": 0.06473559886217117, ""0-2"": 0.017050612717866898, ""1-2"": -0.07201558351516724}"
142,0.99580830,"{""0-1"": 0.9958083033561707}"
143,0.25120926,"{""0-1"": 0.2512092590332031}"
144,0.98696256,"{""0-1"": 0.9869625568389893}"
145,-0.04750573,"{""0-1"": -0.09069906175136566, ""0-2"": -0.03631960228085518, ""1-2"": -0.015498530119657516}"
146,0.00834149,"{""0-1"": 0.07326631247997284, ""0-2"": 0.014114219695329666, ""1-2"": -0.06235605105757713}"
147,0.52295169,"{""0-1"": 0.8410077095031738, ""0-2"": 0.4088248312473297, ""1-2"": 0.319022536277771}"
148,0.46127412,"{""0-1"": 0.461274117231369}"
149,1.00000024,"{""0-1"": 1.000000238418579}"
150,0.20242842,"{""0-1"": 0.2024284154176712}"
151,0.10599447,"{""0-1"": 0.10599447041749954}"
152,0.45077164,"{""0-1"": 0.4784408211708069, ""0-2"": 0.38356414437294006, ""1-2"": 0.4903099536895752}"
153,0.09958174,"{""0-1"": -0.044259827584028244, ""0-2"": 0.024156898260116577, ""1-2"": 0.3188481628894806}"
154,0.01770695,"{""0-1"": 0.017706947401165962}"
155,0.02022960,"{""0-1"": 0.05620163679122925, ""0-2"": -0.024703610688447952, ""1-2"": 0.0291907861828804}"
156,0.06457411,"{""0-1"": 0.06457411497831345}"
157,0.33007406,"{""0-1"": 0.08945246040821075, ""0-2"": 0.05135511979460716, ""1-2"": 0.849414587020874}"
158,0.19396579,"{""0-1"": 0.19396579265594482}"
159,-0.20969151,"{""0-1"": -0.20969150960445404}"
160,-0.02412251,"{""0-1"": -0.17260366678237915, ""0-2"": 0.0012172983260825276, ""1-2"": 0.09901884198188782}"
161,-0.04576951,"{""0-1"": -0.10030452907085419, ""0-2"": -0.04964721202850342, ""1-2"": 0.012643212452530861}"
162,0.49390326,"{""0-1"": 0.4904286563396454, ""0-2"": 0.37850281596183777, ""1-2"": 0.6127783060073853}"
163,0.25224478,"{""0-1"": 0.7546294331550598, ""0-2"": 0.03771785646677017, ""1-2"": -0.03561294078826904}"
164,0.01100018,"{""0-1"": -0.07894425094127655, ""0-2"": 0.062300924211740494, ""1-2"": 0.0496438667178154}"
165,0.06957674,"{""0-1"": 0.2793944180011749, ""0-2"": -0.09580505639314651, ""1-2"": 0.025140855461359024}"
166,0.04525164,"{""0-1"": 0.09126397222280502, ""0-2"": 0.021371230483055115, ""1-2"": 0.023119719699025154}"
167,0.11476091,"{""0-1"": 0.11476091295480728}"
168,-0.04750573,"{""0-1"": -0.09069906175136566, ""0-2"": -0.03631960228085518, ""1-2"": -0.015498530119657516}"
169,0.00000000,{}
170,-0.06357973,"{""0-1"": -0.0635797306895256}"
171,0.37970769,"{""0-1"": 0.9995258450508118, ""0-2"": 0.06964891403913498, ""1-2"": 0.06994830071926117}"
172,0.00000000,{}
173,0.08347683,"{""0-1"": 0.08347682654857635}"
174,0.04826264,"{""0-1"": 0.08210229873657227, ""0-2"": 0.037548843771219254, ""1-2"": 0.02513677068054676}"
175,0.25651552,"{""0-1"": -0.0021474133245646954, ""0-2"": -0.022721856832504272, ""1-2"": 0.7944158315658569}"
176,-0.01728964,"{""0-1"": 0.020123234018683434, ""0-2"": 0.0383111909031868, ""1-2"": -0.11030333489179611}"
177,0.02172650,"{""0-1"": 0.021726496517658234}"
178,0.01615066,"{""0-1"": 0.016150660812854767}"
179,0.31082441,"{""0-1"": -0.01732102409005165, ""0-2"": -0.021498657763004303, ""1-2"": 0.9712929129600525}"
180,-0.04750573,"{""0-1"": -0.09069906175136566, ""0-2"": -0.03631960228085518, ""1-2"": -0.015498530119657516}"
181,0.03977217,"{""0-1"": -0.011836686171591282, ""0-2"": 0.14292046427726746, ""1-2"": -0.01176726445555687}"
182,-0.00154859,"{""0-1"": 0.0017504519782960415, ""0-2"": -0.03255721554160118, ""1-2"": 0.026160990819334984}"
183,0.11267522,"{""0-1"": 0.014024696312844753, ""0-2"": 0.3079424798488617, ""1-2"": 0.01605847477912903}"
184,-0.01676437,"{""0-1"": -0.11672651022672653, ""0-2"": 0.04952555149793625, ""1-2"": 0.016907835379242897}"
185,-0.00680656,"{""0-1"": 0.049037571996450424, ""0-2"": -0.03691186383366585, ""1-2"": -0.03254539892077446}"
186,-0.00348034,"{""0-1"": 0.03207247331738472, ""0-2"": -0.05059552565217018, ""1-2"": 0.008082028478384018}"
187,-0.01855916,"{""0-1"": -0.02402072213590145, ""0-2"": -0.00714037474244833, ""1-2"": -0.024516385048627853}"
188,0.23973243,"{""0-1"": 0.4224351644515991, ""0-2"": 0.05932086706161499, ""1-2"": 0.2374412566423416}"
189,0.34272328,"{""0-1"": 0.05929860845208168, ""0-2"": 0.2537446618080139, ""1-2"": 0.7151265740394592}"
190,0.45715356,"{""0-1"": 0.4571535587310791}"
191,0.04968577,"{""0-1"": 0.0496857687830925}"
192,0.50044590,"{""0-1"": 0.5004459023475647}"
193,0.15579653,"{""0-1"": 0.15579652786254883}"
194,0.05817719,"{""0-1"": -0.046284269541502, ""0-2"": 0.11738121509552002, ""1-2"": 0.10343461483716965}"
195,-0.01880354,"{""0-1"": 0.04042034596204758, ""0-2"": 0.07651660591363907, ""1-2"": -0.1733475774526596}"
196,0.03043291,"{""0-1"": -0.03920966759324074, ""0-2"": -0.10351109504699707, ""1-2"": 0.23401950299739838}"
197,0.35323790,"{""0-1"": 0.35323789715766907}"
198,0.04706129,"{""0-1"": 0.1852547526359558, ""0-2"": -0.1457899957895279, ""1-2"": 0.10171911120414734}"
199,0.30935219,"{""0-1"": 0.30935218930244446}"
200,0.05815397,"{""0-1"": -0.023316945880651474, ""0-2"": 0.21087299287319183, ""1-2"": -0.013094131834805012}"
201,-0.01522874,"{""0-1"": -0.0483819916844368, ""0-2"": 0.05262315645813942, ""1-2"": -0.049927398562431335}"
202,0.02904342,"{""0-1"": 0.15920390188694, ""0-2"": -0.04672364890575409, ""1-2"": -0.025350000709295273}"
203,0.04456987,"{""0-1"": 0.010298219509422779, ""0-2"": 0.013715393841266632, ""1-2"": 0.10969600081443787}"
204,-0.07771640,"{""0-1"": -0.33057916164398193, ""0-2"": -0.0010029033292084932, ""1-2"": 0.09843286126852036}"
205,0.02837324,"{""0-1"": -0.14122800529003143, ""0-2"": -0.26169323921203613, ""1-2"": 0.488040953874588}"
206,0.56258339,"{""0-1"": 0.5625833868980408}"
207,0.32996731,"{""0-1"": 0.6489735245704651, ""0-2"": 0.27227264642715454, ""1-2"": 0.06865575909614563}"
208,-0.03778108,"{""0-1"": -0.029849650338292122, ""0-2"": 0.004041201435029507, ""1-2"": -0.08753479272127151}"
209,0.12177597,"{""0-1"": 0.11295655369758606, ""0-2"": 0.031554531306028366, ""1-2"": 0.22081682085990906}"
210,0.00000000,{}
211,0.46127412,"{""0-1"": 0.461274117231369}"
212,-0.00754624,"{""0-1"": 0.011903896927833557, ""0-2"": 0.04503273963928223, ""1-2"": -0.07957535982131958}"
213,0.05375089,"{""0-1"": 0.053750887513160706}"
214,0.19517770,"{""0-1"": 0.5629270076751709, ""0-2"": -0.003874791320413351, ""1-2"": 0.02648087777197361}"
215,0.00000000,{}
216,0.89673531,"{""0-1"": 0.8967353105545044}"
217,0.04600016,"{""0-1"": 0.06121291220188141, ""0-2"": -0.05716286227107048, ""1-2"": 0.13395044207572937}"
218,0.00141376,"{""0-1"": -0.0010268634650856256, ""0-2"": 0.006066807545721531, ""1-2"": -0.0007986635901033878}"
219,0.99999988,"{""0-1"": 0.9999998807907104}"
220,0.02275143,"{""0-1"": 0.08930368721485138, ""0-2"": 0.01841815561056137, ""1-2"": -0.03946756199002266}"
221,0.14351371,"{""0-1"": 0.3072241544723511, ""0-2"": -0.0915793851017952, ""1-2"": 0.21489635109901428}"
222,0.00723398,"{""0-1"": 0.02045222744345665, ""0-2"": -0.04522223398089409, ""1-2"": 0.04647194594144821}"
223,0.40978693,"{""0-1"": 0.8427907824516296, ""0-2"": 0.4529836177825928, ""1-2"": -0.06641360372304916}"
224,-0.01795062,"{""0-1"": -0.020662344992160797, ""0-2"": -0.02216838113963604, ""1-2"": -0.01102114375680685}"
225,0.05295524,"{""0-1"": 0.03332031890749931, ""0-2"": 0.03402429819107056, ""1-2"": 0.09152111411094666}"
226,0.17242809,"{""0-1"": -0.07294072955846786, ""0-2"": 0.037456098943948746, ""1-2"": 0.552768886089325}"
227,0.03156104,"{""0-1"": -0.00818431656807661, ""0-2"": 0.05099222809076309, ""1-2"": 0.051875196397304535}"
228,-0.03792952,"{""0-1"": -0.09880564361810684, ""0-2"": 0.018909567967057228, ""1-2"": -0.03389248624444008}"
229,-0.02413161,"{""0-1"": 0.13832533359527588, ""0-2"": -0.14673873782157898, ""1-2"": -0.06398142874240875}"
230,0.54252857,"{""0-1"": 0.28807228803634644, ""0-2"": 0.48039138317108154, ""1-2"": 0.8591220378875732}"
231,0.92302930,"{""0-1"": 0.9230293035507202}"
232,0.07596826,"{""0-1"": 0.03532104939222336, ""0-2"": -0.00737630994990468, ""1-2"": 0.19996005296707153}"
233,-0.00221756,"{""0-1"": -0.0022175635676831007}"
234,0.14989206,"{""0-1"": 0.3878898024559021, ""0-2"": -0.007693846710026264, ""1-2"": 0.06948022544384003}"
235,0.00000000,{}
236,0.00114734,"{""0-1"": 0.00114733527880162}"
237,0.08110892,"{""0-1"": 0.06948582828044891, ""0-2"": -0.018958352506160736, ""1-2"": 0.19279927015304565}"
238,0.03075843,"{""0-1"": 0.0587787963449955, ""0-2"": 0.008828842081129551, ""1-2"": 0.024667661637067795}"
239,1.00000012,"{""0-1"": 1.0000001192092896}"
240,0.29680994,"{""0-1"": 0.29680994153022766}"
241,0.17745673,"{""0-1"": 0.5090067982673645, ""0-2"": -0.04373231902718544, ""1-2"": 0.06709571927785873}"
242,0.51652360,"{""0-1"": 0.5165235996246338}"
243,0.17204815,"{""0-1"": 0.023518841713666916, ""0-2"": 0.06774596869945526, ""1-2"": 0.42487964034080505}"
244,0.34146178,"{""0-1"": 0.34146177768707275}"
245,0.01681174,"{""0-1"": 0.06176665052771568, ""0-2"": 0.011155697517096996, ""1-2"": -0.022487131878733635}"
246,0.42492148,"{""0-1"": 0.4249214828014374}"
247,0.97287714,"{""0-1"": 0.9728771448135376}"
248,0.17599726,"{""0-1"": 0.17599725723266602}"
249,0.12566303,"{""0-1"": 0.2933356463909149, ""0-2"": 0.056550282984972, ""1-2"": 0.02710317075252533}"
250,-0.01632778,"{""0-1"": -0.01632777787744999}"
251,0.08783410,"{""0-1"": 0.08783410489559174}"
252,-0.06325378,"{""0-1"": -0.14386285841464996, ""0-2"": -0.039177604019641876, ""1-2"": -0.006720869801938534}"
253,0.00000000,{}
254,-0.02428819,"{""0-1"": -0.13861355185508728, ""0-2"": -0.007847142405807972, ""1-2"": 0.07359611988067627}"
255,0.66775173,"{""0-1"": 0.6677517294883728}"
256,-0.00173836,"{""0-1"": 0.15862053632736206, ""0-2"": -0.13634566962718964, ""1-2"": -0.027489952743053436}"
257,0.33186626,"{""0-1"": 0.6985779404640198, ""0-2"": 0.3008993864059448, ""1-2"": -0.003878539428114891}"
258,0.09379811,"{""0-1"": 0.09379810839891434}"
259,0.02724863,"{""0-1"": 0.10159782320261002, ""0-2"": -0.076620914041996, ""1-2"": 0.05676897615194321}"
260,0.09278202,"{""0-1"": -0.02707429975271225, ""0-2"": 0.1740802675485611, ""1-2"": 0.13134008646011353}"
261,0.54781717,"{""0-1"": 0.5478171706199646}"
262,-0.05820857,"{""0-1"": -0.11578035354614258, ""0-2"": -0.06243177503347397, ""1-2"": 0.00358643289655447}"
263,1.00000012,"{""0-1"": 1.0000001192092896}"
264,0.00290581,"{""0-1"": 0.052873849868774414, ""0-2"": -0.05253974348306656, ""1-2"": 0.008383329957723618}"
265,-0.03634686,"{""0-1"": -0.036346856504678726}"
266,-0.03134422,"{""0-1"": -0.06173305958509445, ""0-2"": -0.036438703536987305, ""1-2"": 0.004139097407460213}"
267,-0.03655420,"{""0-1"": -0.19454990327358246, ""0-2"": 0.11350750178098679, ""1-2"": -0.028620194643735886}"
268,0.13102887,"{""0-1"": 0.4987351596355438, ""0-2"": -0.07752909511327744, ""1-2"": -0.028119465336203575}"
269,0.67866947,"{""0-1"": 0.8703222274780273, ""0-2"": 0.5365164875984192, ""1-2"": 0.6291697025299072}"
270,-0.01008990,"{""0-1"": -0.07256564497947693, ""0-2"": -0.022161319851875305, ""1-2"": 0.06445727497339249}"
271,0.00957372,"{""0-1"": -0.005690410733222961, ""0-2"": -0.002907359506934881, ""1-2"": 0.03731892257928848}"
272,0.07852728,"{""0-1"": 0.13659369945526123, ""0-2"": 0.04569564759731293, ""1-2"": 0.05329248681664467}"
273,-0.01893907,"{""0-1"": -0.06199823319911957, ""0-2"": 0.04117889702320099, ""1-2"": -0.03599786013364792}"
274,0.02119624,"{""0-1"": 0.019332947209477425, ""0-2"": 0.10232165455818176, ""1-2"": -0.058065880089998245}"
275,0.29181463,"{""0-1"": 0.2918146252632141}"
276,0.17420802,"{""0-1"": -0.2133459746837616, ""0-2"": 0.046785835176706314, ""1-2"": 0.6891841888427734}"
277,0.03428943,"{""0-1"": 0.03428942710161209}"
278,0.21549933,"{""0-1"": -0.014599388465285301, ""0-2"": 0.6368616223335266, ""1-2"": 0.024235764518380165}"
279,0.20101377,"{""0-1"": 0.36968299746513367, ""0-2"": 0.026393136009573936, ""1-2"": 0.20696517825126648}"
280,0.12126224,"{""0-1"": -0.11372720450162888, ""0-2"": 0.009561183862388134, ""1-2"": 0.4679527282714844}"
281,0.87250310,"{""0-1"": 0.8725031018257141}"
282,0.00838808,"{""0-1"": 0.07747922092676163, ""0-2"": -0.06341294944286346, ""1-2"": 0.011097968555986881}"
283,0.36524156,"{""0-1"": 0.9463045001029968, ""0-2"": 0.22537055611610413, ""1-2"": -0.07595036923885345}"
284,0.39554727,"{""0-1"": 0.3955472707748413}"
